AVERAGE RESULTS


TRANSACTION COUNT RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| transaction_count                   | 34.51                | 34.99 (+1.37%)       | 34.61 (+0.26%)       |
------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| Coinflip.sol                        | 29.00%               | 26.00% (-10.34%)     | 22.00% (-24.14%)     |
| CompetitionStore.sol                | 8.59%                | 8.59% (0.00%)        | 7.22% (-16.00%)      |
| CrowdsaleTokens.sol                 | 66.36%               | 69.09% (+4.11%)      | 69.09% (+4.11%)      |
| CryptoDuels.sol                     | 21.12%               | 22.84% (+8.16%)      | 22.84% (+8.16%)      |
| CryptoGoldStandardCoin.sol          | 27.27%               | 26.84% (-1.59%)      | 26.41% (-3.17%)      |
| CryptoPoosToken.sol                 | 16.35%               | 16.67% (+1.92%)      | 16.35% (0.00%)       |
| DIVXToken.sol                       | 21.95%               | 21.95% (0.00%)       | 25.09% (+14.29%)     |
| DecentralandBuyer.sol               | 51.08%               | 48.92% (-4.23%)      | 48.20% (-5.63%)      |
| DeveryFUND.sol                      | 28.99%               | 28.99% (0.00%)       | 37.28% (+28.57%)     |
| Dil.sol                             | 35.44%               | 35.44% (0.00%)       | 35.44% (0.00%)       |
| EmojisanAuctionHouse.sol            | 20.71%               | 25.25% (+21.95%)     | 25.25% (+21.95%)     |
| EmojisanMarketplace.sol             | 22.82%               | 22.82% (0.00%)       | 23.30% (+2.13%)      |
| EtchReward.sol                      | 32.58%               | 36.65% (+12.50%)     | 33.48% (+2.78%)      |
| EthMash.sol                         | 44.04%               | 44.04% (0.00%)       | 44.04% (0.00%)       |
| EthMashChain.sol                    | 40.28%               | 48.61% (+20.69%)     | 48.61% (+20.69%)     |
| EthMashMount.sol                    | 49.35%               | 49.35% (0.00%)       | 49.35% (0.00%)       |
| EthMashTower.sol                    | 39.29%               | 39.29% (0.00%)       | 36.61% (-6.82%)      |
| EtherTool.sol                       | 29.50%               | 36.69% (+24.39%)     | 36.69% (+24.39%)     |
| FidgETHSpinner.sol                  | 52.10%               | 60.50% (+16.13%)     | 60.50% (+16.13%)     |
| FipsNotary.sol                      | 36.92%               | 39.23% (+6.25%)      | 41.54% (+12.50%)     |
| GPSPresale.sol                      | 34.59%               | 33.51% (-3.12%)      | 35.14% (+1.56%)      |
| HashBet.sol                         | 52.17%               | 52.17% (0.00%)       | 52.17% (0.00%)       |
| HodlBox.sol                         | 54.24%               | 50.85% (-6.25%)      | 64.41% (+18.75%)     |
| KeberuntunganAcak.sol               | 40.00%               | 40.00% (0.00%)       | 36.19% (-9.52%)      |
| KiddyToys.sol                       | 16.44%               | 13.76% (-16.33%)     | 15.10% (-8.16%)      |
| LINKFund.sol                        | 61.29%               | 64.52% (+5.26%)      | 70.97% (+15.79%)     |
| LeanFund.sol                        | 45.80%               | 53.44% (+16.67%)     | 58.78% (+28.33%)     |
| MUSCToken.sol                       | 30.98%               | 28.80% (-7.02%)      | 30.98% (0.00%)       |
| MarketPrice.sol                     | 38.40%               | 36.00% (-6.25%)      | 43.20% (+12.50%)     |
| Matthew.sol                         | 71.43%               | 71.43% (0.00%)       | 64.29% (-10.00%)     |
| MoacToken.sol                       | 23.29%               | 21.43% (-8.00%)      | 21.74% (-6.67%)      |
| NFTHouseGame.sol                    | 8.97%                | 9.95% (+10.91%)      | 9.30% (+3.64%)       |
| NatCoinCrowdsale.sol                | 32.63%               | 27.97% (-14.29%)     | 38.14% (+16.88%)     |
| OurRoulette.sol                     | 16.27%               | 16.99% (+4.41%)      | 16.99% (+4.41%)      |
| P2PFuturesTrading.sol               | 31.11%               | 31.11% (0.00%)       | 31.11% (0.00%)       |
