GROUP B RESULTS


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
| MarchMadness.sol                    | N/A                  | N/A                  | N/A                  |
------------------------------------------------------------------------------------------------------------
| AVERAGE                             | 53.65%               | 53.73% (+0.16%)      | 53.92% (+0.50%)      |
------------------------------------------------------------------------------------------------------------


AVERAGE COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| CryptoPoosToken.sol                 | 5.76%                | 5.75% (-0.19%)       | 5.60% (-2.84%)       |
| NFTHouseGame.sol                    | 3.75%                | 3.69% (-1.59%)       | 3.66% (-2.61%)       |
| RichestTakeAll.sol                  | 12.76%               | 14.24% (+11.57%)     | 14.46% (+13.31%)     |
| MultiEventsHistory.sol              | 15.89%               | 16.17% (+1.76%)      | 15.69% (-1.28%)      |
| DEC15Contract.sol                   | 17.12%               | 17.56% (+2.56%)      | 16.54% (-3.40%)      |
| DecentralandBuyer.sol               | 13.61%               | 13.26% (-2.59%)      | 13.70% (+0.71%)      |
| MarketPrice.sol                     | 9.38%                | 9.43% (+0.51%)       | 8.00% (-14.67%)      |
| WaterCrowdsale.sol                  | 13.77%               | 13.94% (+1.19%)      | 14.24% (+3.42%)      |
| SafeConditionalHFTransfer.sol       | 16.16%               | 16.55% (+2.41%)      | 16.95% (+4.90%)      |
| KeberuntunganAcak.sol               | 6.78%                | 6.53% (-3.71%)       | 7.18% (+5.97%)       |
| SaintArnouldToken.sol               | 13.70%               | 13.45% (-1.83%)      | 13.88% (+1.29%)      |
| viewMessagePayable.sol              | 27.19%               | 28.11% (+3.41%)      | 26.37% (-2.99%)      |
| IungoPresale.sol                    | 9.04%                | 8.73% (-3.36%)       | 8.84% (-2.23%)       |
| Honey.sol                           | 13.45%               | 12.51% (-6.99%)      | 13.33% (-0.88%)      |
| DaoCasinoToken.sol                  | 15.28%               | 15.50% (+1.43%)      | 15.07% (-1.41%)      |
| JoysoCrowdsale.sol                  | 10.89%               | 11.16% (+2.50%)      | 10.63% (-2.33%)      |
| Caller.sol                          | 31.48%               | 33.94% (+7.80%)      | 26.00% (-17.40%)     |
| Remittance.sol                      | 8.22%                | 8.57% (+4.23%)       | 8.43% (+2.56%)       |
| ChristmasClub.sol                   | 14.24%               | 15.13% (+6.20%)      | 14.99% (+5.26%)      |
| HFConditionalTransfer.sol           | 13.52%               | 13.32% (-1.43%)      | 15.18% (+12.27%)     |
| Fermat.sol                          | 17.49%               | 17.76% (+1.55%)      | 17.05% (-2.52%)      |
| Payee.sol                           | 18.22%               | 17.26% (-5.28%)      | 17.66% (-3.07%)      |
| CandySale.sol                       | 10.75%               | 10.63% (-1.18%)      | 10.66% (-0.83%)      |
| REALotteryWheel.sol                 | 11.70%               | 12.87% (+9.99%)      | 12.61% (+7.76%)      |
| Xtime.sol                           | 15.46%               | 15.87% (+2.63%)      | 16.02% (+3.64%)      |
| eth666.sol                          | 10.98%               | 12.07% (+9.99%)      | 12.08% (+10.01%)     |
| Hotc.sol                            | 14.16%               | 14.21% (+0.37%)      | 14.36% (+1.47%)      |
| TwentyDollars.sol                   | 13.20%               | 12.86% (-2.61%)      | 13.21% (+0.04%)      |
| IQNCrowdsale.sol                    | 11.88%               | 13.15% (+10.73%)     | 12.31% (+3.65%)      |
| ETHLightToken.sol                   | 16.57%               | 15.85% (-4.31%)      | 16.37% (-1.19%)      |
| LINKFund.sol                        | 12.57%               | 12.20% (-2.94%)      | 12.52% (-0.37%)      |
| AtomicSwap.sol                      | 13.66%               | 14.50% (+6.15%)      | 15.25% (+11.64%)     |
| DEC15v1Contract.sol                 | 16.91%               | 17.46% (+3.23%)      | 16.83% (-0.49%)      |
| Soleau.sol                          | 10.22%               | 10.09% (-1.21%)      | 10.82% (+5.92%)      |
| TokenBank.sol                       | 15.81%               | 15.95% (+0.89%)      | 16.21% (+2.58%)      |
| EthBird.sol                         | 21.36%               | 21.09% (-1.26%)      | 21.34% (-0.09%)      |
| UserWallet.sol                      | 18.85%               | 16.13% (-14.45%)     | 22.00% (+16.69%)     |
| Reward.sol                          | 14.66%               | 19.77% (+34.87%)     | 19.37% (+32.11%)     |
| TestRegistry.sol                    | 20.38%               | 20.39% (+0.07%)      | 20.98% (+2.98%)      |
| TheOneToken.sol                     | 9.71%                | 9.38% (-3.39%)       | 9.41% (-3.07%)       |
| Parsec.sol                          | 21.23%               | 22.09% (+4.08%)      | 22.33% (+5.18%)      |
| whoDepositV3.sol                    | 18.07%               | 18.07% (+0.02%)      | 18.06% (-0.04%)      |
| WyvernDAOProxy.sol                  | 13.98%               | 14.06% (+0.59%)      | 13.46% (-3.73%)      |
| PrivateBank.sol                     | 15.58%               | 14.54% (-6.70%)      | 16.33% (+4.80%)      |
| RaisingToken.sol                    | 15.88%               | 16.13% (+1.63%)      | 15.90% (+0.17%)      |
| Luck.sol                            | 20.18%               | 20.26% (+0.39%)      | 20.30% (+0.59%)      |
| Private_Bank.sol                    | 16.33%               | 16.70% (+2.32%)      | 16.22% (-0.67%)      |
| HodlContract.sol                    | 22.26%               | 22.42% (+0.68%)      | 22.33% (+0.31%)      |
| LOVEFoundation.sol                  | 14.11%               | 13.23% (-6.28%)      | 13.84% (-1.92%)      |
| Matthew.sol                         | 21.48%               | 23.93% (+11.42%)     | 23.22% (+8.13%)      |
| EthereumHole.sol                    | 20.19%               | 20.54% (+1.74%)      | 20.99% (+3.96%)      |
| CvcProxy.sol                        | 13.30%               | 13.94% (+4.84%)      | 15.07% (+13.33%)     |
| TUStoken.sol                        | 9.54%                | 10.68% (+11.92%)     | 10.20% (+6.87%)      |
| SaveData.sol                        | 18.41%               | 18.72% (+1.66%)      | 19.73% (+7.14%)      |
| VeganCoin.sol                       | 15.38%               | 16.75% (+8.90%)      | 16.25% (+5.69%)      |
| viewMessage.sol                     | 13.76%               | 14.35% (+4.33%)      | 14.71% (+6.94%)      |
| BigRisk.sol                         | 14.68%               | 14.87% (+1.31%)      | 14.76% (+0.55%)      |
| Bitway.sol                          | 14.82%               | 14.61% (-1.43%)      | 15.06% (+1.65%)      |
| AMBROSUSFund.sol                    | 15.23%               | 15.02% (-1.35%)      | 15.07% (-1.05%)      |
| ECT2Crowdsale2.sol                  | 14.45%               | 14.26% (-1.30%)      | 14.16% (-2.00%)      |
| SingularityTest20.sol               | 13.90%               | 14.51% (+4.37%)      | 14.46% (+4.02%)      |
| TrustBet.sol                        | 16.54%               | 16.36% (-1.07%)      | 16.68% (+0.86%)      |
| XG4KCrowdFunding.sol                | 21.71%               | 23.38% (+7.69%)      | 22.58% (+3.99%)      |
| Cajutel.sol                         | 6.28%                | 6.30% (+0.32%)       | 6.29% (+0.15%)       |
| Store.sol                           | 15.55%               | 15.11% (-2.83%)      | 16.76% (+7.75%)      |
| BetBuyer.sol                        | 12.73%               | 12.64% (-0.70%)      | 12.31% (-3.31%)      |
| proforma.sol                        | 8.53%                | 9.19% (+7.81%)       | 9.65% (+13.10%)      |
| SpanCoin.sol                        | N/A                  | N/A                  | N/A                  |
| TopKing.sol                         | 12.98%               | 13.67% (+5.31%)      | 13.74% (+5.81%)      |
| Bombs.sol                           | 11.20%               | 11.27% (+0.66%)      | 11.32% (+1.06%)      |
| HODLerParadise.sol                  | 8.16%                | 8.32% (+1.92%)       | 8.60% (+5.37%)       |
| IQNSecondPreICO.sol                 | 15.31%               | 17.20% (+12.34%)     | 17.32% (+13.14%)     |
| Ethsplit.sol                        | 14.96%               | 14.73% (-1.50%)      | 14.59% (-2.44%)      |
| AddressLotteryV2.sol                | 15.65%               | 14.15% (-9.57%)      | 15.77% (+0.75%)      |
| WhaleGiveaway1.sol                  | 16.25%               | 15.57% (-4.18%)      | 16.52% (+1.69%)      |
| SoapBox.sol                         | 12.33%               | 12.32% (-0.09%)      | 11.67% (-5.35%)      |
| TestQuery.sol                       | 20.27%               | 19.22% (-5.17%)      | 20.64% (+1.83%)      |
| Bounty0xPresale.sol                 | 12.73%               | 12.98% (+1.95%)      | 12.95% (+1.72%)      |
| RaffleStrangeLoop.sol               | 12.06%               | 12.12% (+0.52%)      | 11.41% (-5.36%)      |
| AnyContract.sol                     | 17.17%               | 18.27% (+6.39%)      | 18.38% (+7.01%)      |
| P2PFuturesTrading.sol               | 13.35%               | 13.10% (-1.90%)      | 12.92% (-3.23%)      |
| BeatOrgTokenMainSale.sol            | 15.84%               | 16.30% (+2.87%)      | 15.60% (-1.51%)      |
| EthTermDeposits.sol                 | 14.48%               | 14.58% (+0.68%)      | 13.85% (-4.33%)      |
