

MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
| JobeumPresale.sol                   | 16.48%               | 19.45% (+18.06%)     | 19.45% (+18.06%)     |
| JoysoCrowdsale.sol                  | 50.76%               | 50.76% (0.00%)       | 50.76% (0.00%)       |
| Lescovex.sol                        | 32.14%               | 32.14% (0.00%)       | 32.14% (0.00%)       |
| ListingsERC20.sol                   | 44.92%               | 37.97% (-15.48%)     | 40.11% (-10.71%)     |
| LitmusCrowdsale.sol                 | 55.83%               | 55.83% (0.00%)       | 55.83% (0.00%)       |
| Loan.sol                            | 60.00%               | 60.00% (0.00%)       | 52.17% (-13.04%)     |
| LudumToken.sol                      | 38.31%               | 38.81% (+1.30%)      | 38.31% (0.00%)       |
| LympoICO.sol                        | 44.06%               | 44.06% (0.00%)       | 44.06% (0.00%)       |
| MallcoinCrowdSale.sol               | N/A                  | N/A                  | N/A                  |
| MarchMadness.sol                    | N/A                  | N/A                  | N/A                  |
| MidnightCoin.sol                    | 37.82%               | 38.46% (+1.69%)      | 39.74% (+5.08%)      |
| NYX.sol                             | 50.82%               | 53.28% (+4.84%)      | 50.82% (0.00%)       |
| NYXAccount.sol                      | 49.18%               | 51.64% (+5.00%)      | 49.18% (0.00%)       |
| NewCratePreSale.sol                 | 20.00%               | 20.00% (0.00%)       | 20.00% (0.00%)       |
| OZRealestatesToken.sol              | 20.10%               | 19.35% (-3.75%)      | 20.10% (0.00%)       |
| ObizcoinCrowdsale.sol               | 34.84%               | 34.84% (0.00%)       | 35.29% (+1.30%)      |
| PotPotato.sol                       | 28.33%               | 28.33% (0.00%)       | 28.33% (0.00%)       |
